date,value,cash,holdings_count,peak,dd
2026-07-16,9555797.894806175,61.852066306222696,20,10077705.38276244,-0.05178832562906328
2026-07-17,9421944.527389793,61.852066306222696,20,10077705.38276244,-0.06507045309086955
2026-07-20,9519881.329941062,61.852066306222696,20,10077705.38276244,-0.05535228820794024
2026-07-21,9602896.699127464,61.852066306222696,20,10077705.38276244,-0.04711476130738248
2026-07-22,9514882.324844627,61.852066306222696,20,10077705.38276244,-0.05584833417342224
2026-07-23,9392021.321823386,61.852066306222696,20,10077705.38276244,-0.06803970099303473
2026-07-24,9275617.81219509,61.852066306222696,20,10077705.38276244,-0.07959029760279474
2026-07-27,9451823.921921043,61.852066306222696,20,10077705.38276244,-0.06210555251118425
2026-07-28,9349232.385147361,61.852066306222696,20,10077705.38276244,-0.07228560172647097
2026-07-29,9389442.841263084,61.852066306222696,20,10077705.38276244,-0.06829556088001984
2026-07-30,9342697.359115867,61.852066306222696,20,10077705.38276244,-0.07293406541768704
2026-07-31,9519256.84787014,61.852066306222696,20,10077705.38276244,-0.05541425490047632
2026-08-03,9561956.996132903,-331.63220877113054,20,10077705.38276244,-0.0511771645469718
2026-08-04,9683826.675301604,-331.63220877113054,20,10077705.38276244,-0.039084165740204235
2026-08-05,9749973.228875212,-331.63220877113054,20,10077705.38276244,-0.0325205134938556
2026-08-06,9714184.671547942,-331.63220877113054,20,10077705.38276244,-0.03607177402072967
2026-08-07,9808605.805214934,-331.63220877113054,20,10077705.38276244,-0.026702465226636895
2026-08-10,9792939.241341643,-331.63220877113054,20,10077705.38276244,-0.028257041717837772
2026-08-11,9783116.962456755,-331.63220877113054,20,10077705.38276244,-0.02923169601778271
2026-08-12,9838411.642769866,-331.63220877113054,20,10077705.38276244,-0.023744863627575122
2026-08-13,9842975.90015512,-331.63220877113054,20,10077705.38276244,-0.02329195721565908
2026-08-14,9800383.862938933,-331.63220877113054,20,10077705.38276244,-0.0275183198248537
2026-08-17,9769462.908776335,-331.63220877113054,20,10077705.38276244,-0.03058657326035171
2026-08-18,9855225.49541574,-331.63220877113054,20,10077705.38276244,-0.02207644289018846
2026-08-19,9752903.27614694,-331.63220877113054,20,10077705.38276244,-0.03222976801555057
2026-08-20,9812246.35239511,-331.63220877113054,20,10077705.38276244,-0.026341217597151436
2026-08-21,9918956.342232756,-331.63220877113054,20,10077705.38276244,-0.0157524986591906
2026-08-24,9936315.298882537,-331.63220877113054,20,10077705.38276244,-0.014029987830537865
2026-08-25,9920468.864403777,-331.63220877113054,20,10077705.38276244,-0.015602412690850265
2026-08-26,9909102.592476897,-331.63220877113054,20,10077705.38276244,-0.01673027578023185
2026-08-27,10045399.475823455,-331.63220877113054,20,10077705.38276244,-0.0032056808283206124
2026-08-28,10091150.213219695,-331.63220877113054,20,10091150.213219695,0.0
2026-08-31,9989930.006859832,-331.63220877113054,20,10091150.213219695,-0.010030591579863902
