rank,symbol,close,high_252,retracement_pct,ema_200,ret_252,vol_252,volar_score,rs_ratio,rs_ema_200,filter1_pass,filter2_pass,filter3_pass,is_qualified
538,ANUP,1808.9,2559.39,-29.32,2063.27,-22.49,44.74,-0.5026,0.074588,0.084588,False,False,False,False
539,SUNTV,472.05,653.93,-27.81,532.54,-17.05,33.9,-0.5031,0.019464,0.021853,False,False,False,False
540,FACT,783.3,1058.6,-26.01,854.55,-20.01,39.65,-0.5045,0.032298,0.035069,False,False,False,False
541,MEDPLUS,689.55,1022.2,-32.54,808.92,-15.27,30.01,-0.5088,0.028433,0.033216,False,False,False,False
542,JUSTDIAL,674.05,878.6,-23.28,644.43,-19.42,38.06,-0.5101,0.027794,0.026371,False,True,True,False
543,EIEL,194.73,276.1,-29.47,205.27,-24.86,47.57,-0.5225,0.008029,0.008418,False,False,False,False
544,POWERMECH,2502.4,3258.68,-23.21,2491.86,-20.29,38.45,-0.5277,0.103183,0.102279,False,True,True,False
545,COROMANDEL,1996.1,2487.76,-19.76,2070.95,-15.8,29.75,-0.5313,0.082307,0.084833,True,False,False,False
546,SBFC,93.93,123.0,-23.63,95.37,-15.99,29.89,-0.5351,0.003873,0.003908,False,False,False,False
547,HERITGFOOD,380.85,535.95,-28.94,363.01,-18.33,33.71,-0.5438,0.015704,0.014847,False,True,True,False
548,LXCHEM,173.21,240.59,-28.01,162.58,-23.32,42.87,-0.5438,0.007142,0.006662,False,True,True,False
549,CAMPUS,228.15,294.65,-22.57,241.27,-14.64,26.69,-0.5485,0.009407,0.009889,False,False,False,False
550,TARC,124.07,186.3,-33.4,136.71,-23.08,42.0,-0.5495,0.005116,0.005595,False,False,False,False
551,PURVA,219.36,305.0,-28.08,223.94,-23.26,42.17,-0.5516,0.009045,0.009171,False,False,False,False
552,MOIL,252.85,398.62,-36.57,301.61,-21.97,39.62,-0.5546,0.010426,0.012358,False,False,False,False
553,MAHSCOOTER,13131.0,18282.17,-28.18,13184.54,-17.46,31.33,-0.5574,0.54144,0.540036,False,False,True,False
554,JUBLPHARMA,880.35,1178.7,-25.31,966.36,-16.02,28.67,-0.5586,0.0363,0.039611,False,False,False,False
555,ELECTCAST,73.87,107.37,-31.2,77.99,-26.01,46.5,-0.5593,0.003046,0.0032,False,False,False,False
556,TEXRAIL,104.57,153.0,-31.65,114.43,-24.09,42.69,-0.5642,0.004312,0.004685,False,False,False,False
557,JWL,247.0,372.85,-33.75,281.59,-25.28,44.66,-0.566,0.010185,0.011541,False,False,False,False
558,SUNTECK,296.35,472.5,-37.28,340.85,-23.56,41.6,-0.5664,0.01222,0.013938,False,False,False,False
559,SAPPHIRE,242.34,347.9,-30.34,209.18,-25.71,45.31,-0.5674,0.009993,0.008554,False,True,True,False
560,RHIM,375.25,512.86,-26.83,409.98,-23.09,40.53,-0.5696,0.015473,0.01679,False,False,False,False
561,INTELLECT,691.25,1232.73,-43.93,778.56,-23.01,40.18,-0.5727,0.028503,0.031837,False,False,False,False
562,BLS,271.29,388.99,-30.26,276.8,-26.49,46.11,-0.5744,0.011186,0.011339,False,False,False,False
563,RCF,118.16,161.77,-26.96,130.64,-19.54,33.84,-0.5774,0.004872,0.005355,False,False,False,False
564,SANOFICONR,4222.1,5275.81,-19.97,4546.56,-17.74,30.59,-0.58,0.174093,0.186673,True,False,False,False
565,IRB,18.95,23.84,-20.5,20.83,-15.19,25.69,-0.5911,0.000781,0.000855,False,False,False,False
566,UPL,569.0,804.41,-29.27,634.95,-18.77,31.51,-0.5959,0.023462,0.02601,False,False,False,False
567,KITEX,124.95,232.7,-46.3,166.71,-33.66,54.96,-0.6123,0.005152,0.006825,False,False,False,False
568,JUBLFOOD,506.75,665.86,-23.89,488.64,-19.85,32.07,-0.619,0.020895,0.02,False,True,True,False
569,HAPPSTMNDS,444.55,625.55,-28.93,406.74,-23.39,37.76,-0.6195,0.01833,0.016656,False,True,True,False
570,ABREL,1406.3,1961.88,-28.32,1440.83,-24.04,38.76,-0.6202,0.057987,0.058979,False,False,False,False
571,SAMHI,159.56,222.0,-28.13,171.13,-22.39,36.0,-0.6219,0.006579,0.00701,False,False,False,False
572,COLPAL,1889.0,2448.35,-22.85,2076.18,-15.02,24.15,-0.622,0.07789,0.085164,False,False,False,False
573,HEXT,532.45,807.5,-34.06,565.9,-25.01,40.02,-0.625,0.021955,0.023138,False,False,False,False
574,STYRENIX,2081.6,2678.51,-22.29,2221.89,-19.33,30.88,-0.626,0.085832,0.091229,False,False,False,False
575,WEBELSOLAR,82.8,141.5,-41.48,97.74,-36.95,58.8,-0.6284,0.003414,0.004012,False,False,False,False
576,AAVAS,1355.3,1771.9,-23.51,1431.19,-19.47,30.62,-0.636,0.055884,0.058664,False,False,False,False
577,INFY,1121.0,1691.4,-33.72,1242.46,-19.25,29.93,-0.6432,0.046223,0.050845,False,False,False,False
578,JSWCEMENT,126.04,161.55,-21.98,128.08,-19.19,29.81,-0.6438,0.005197,0.005259,False,False,False,False
579,PARADEEP,148.48,232.22,-36.06,139.92,-28.01,43.05,-0.6506,0.006122,0.005729,False,True,True,False
580,AHLUCONT,696.2,1077.95,-35.41,840.86,-24.72,37.99,-0.6508,0.028707,0.034446,False,False,False,False
581,GODFRYPHLP,2117.0,3868.28,-45.27,2286.74,-33.55,50.75,-0.6611,0.087292,0.093632,False,False,False,False
582,GMMPFAUDLR,1022.35,1307.35,-21.8,925.4,-21.3,32.2,-0.6616,0.042155,0.037866,False,True,True,False
583,DMART,3906.0,4949.5,-21.08,4094.54,-16.06,24.0,-0.6691,0.161059,0.168162,False,False,False,False
584,SUZLON,46.71,61.5,-24.05,51.97,-21.61,32.09,-0.6736,0.001926,0.002133,False,False,False,False
585,ELLEN,328.5,559.8,-41.32,298.45,-33.0,48.7,-0.6777,0.013545,0.012195,False,True,True,False
586,RAMCOCEM,899.05,1211.19,-25.77,962.31,-17.09,25.17,-0.6789,0.037071,0.039425,False,False,False,False
587,TARIL,298.65,552.0,-45.9,326.85,-40.51,59.44,-0.6815,0.012314,0.013409,False,False,False,False
588,NESCO,1035.8,1628.41,-36.39,1136.02,-23.12,33.92,-0.6816,0.04271,0.046568,False,False,False,False
589,EMBDL,64.87,105.7,-38.63,65.95,-35.97,52.58,-0.6841,0.002675,0.002699,False,False,False,False
590,LATENTVIEW,278.1,517.5,-46.26,334.55,-31.81,46.36,-0.6863,0.011467,0.013665,False,False,False,False
591,ICICIGI,1617.0,2057.09,-21.39,1788.03,-16.62,24.16,-0.6877,0.066675,0.073317,False,False,False,False
592,BLUESTARCO,1511.9,2030.04,-25.52,1701.67,-21.23,30.51,-0.6959,0.062341,0.069776,False,False,False,False
593,ERIS,1328.2,1810.29,-26.63,1426.3,-20.73,29.73,-0.6972,0.054767,0.058463,False,False,False,False
594,IXIGO,170.3,339.15,-49.79,195.94,-38.78,55.58,-0.6976,0.007022,0.008008,False,False,False,False
595,IRCON,124.72,188.01,-33.66,142.86,-26.5,37.8,-0.7012,0.005143,0.00585,False,False,False,False
596,PRSMJOHNSN,107.97,176.0,-38.65,123.36,-24.54,34.84,-0.7045,0.004452,0.005056,False,False,False,False
597,PAGEIND,35480.0,46547.97,-23.78,37987.2,-17.13,24.28,-0.7056,1.462972,1.559093,False,False,False,False
598,SWSOLAR,192.17,286.5,-32.92,214.47,-30.2,42.77,-0.7061,0.007924,0.008792,False,False,False,False
599,DALBHARAT,1880.0,2484.34,-24.33,1895.62,-18.95,26.52,-0.7148,0.077519,0.077638,False,False,False,False
600,KAYNES,3890.0,7705.0,-49.51,3977.28,-37.98,53.06,-0.7157,0.160399,0.162583,False,False,False,False
601,MAXHEALTH,1000.0,1253.77,-20.24,1060.59,-18.51,25.77,-0.7185,0.041234,0.043499,False,False,False,False
602,EIHOTEL,302.75,432.84,-30.05,328.41,-21.05,28.89,-0.7287,0.012484,0.013457,False,False,False,False
603,JMFINANCIL,128.24,194.86,-34.19,131.03,-30.2,41.14,-0.734,0.005288,0.005368,False,False,False,False
604,TCS,2302.0,3287.16,-29.97,2493.98,-20.51,27.92,-0.7345,0.09492,0.10205,False,False,False,False
605,EUREKAFORB,415.0,668.3,-37.9,490.41,-23.3,31.7,-0.7351,0.017112,0.020077,False,False,False,False
