rank,symbol,close,high_252,retracement_pct,ema_200,ret_252,vol_252,volar_score,rs_ratio,rs_ema_200,filter1_pass,filter2_pass,filter3_pass,is_qualified
314,APOLLOTYRE,443.5,533.71,-16.9,438.87,-1.62,27.27,-0.0595,0.018409,0.01798,True,True,True,True
315,ENRIN,3242.6,3968.0,-18.28,3235.26,-2.67,38.4,-0.0696,0.134599,0.132977,True,True,True,True
316,CHOICEIN,786.4,860.5,-8.61,749.02,-2.23,31.48,-0.0709,0.032643,0.030697,True,True,True,True
317,NAUKRI,1354.0,1423.55,-4.89,1165.34,-2.3,30.25,-0.0761,0.056204,0.047725,True,True,True,True
318,HCC,24.64,30.0,-17.87,22.14,-4.68,51.44,-0.091,0.001023,0.000908,True,True,True,True
319,JKPAPER,391.55,440.18,-11.05,362.97,-3.33,35.53,-0.0938,0.016253,0.014899,True,True,True,True
320,LICHSGFIN,535.0,586.43,-8.77,527.88,-2.62,25.15,-0.104,0.022208,0.021672,True,True,True,True
321,TITAGARH,835.35,971.0,-13.97,816.7,-3.79,35.97,-0.1054,0.034675,0.033506,True,True,True,True
322,NIVABUPA,81.8,91.4,-10.5,81.35,-2.44,22.35,-0.1094,0.003395,0.003341,True,True,True,True
323,LICI,422.0,457.74,-7.81,412.83,-2.77,25.17,-0.1098,0.017517,0.016937,True,True,True,True
324,SENCO,354.85,428.76,-17.24,342.23,-4.63,42.06,-0.1101,0.01473,0.014052,True,True,True,True
325,DEEPAKNTR,1762.9,1895.74,-7.01,1673.4,-3.24,28.34,-0.1142,0.073177,0.068677,True,True,True,True
326,HONAUT,36635.0,41495.0,-11.71,35071.6,-3.55,30.16,-0.1176,1.520702,1.439283,True,True,True,True
327,MAZDOCK,2555.0,3039.74,-15.95,2509.41,-4.18,33.45,-0.1249,0.106057,0.102959,True,True,True,True
328,KIRLOSBROS,1914.7,2180.91,-12.21,1777.01,-4.79,37.33,-0.1284,0.079478,0.07295,True,True,True,True
329,CDSL,1414.7,1658.57,-14.7,1343.09,-4.32,31.04,-0.1393,0.058724,0.055035,True,True,True,True
330,ARE&M,921.35,1045.66,-11.89,879.74,-4.48,31.54,-0.1422,0.038245,0.036079,True,True,True,True
331,POLICYBZR,1811.5,1974.0,-8.23,1654.56,-4.75,33.12,-0.1435,0.075195,0.067875,True,True,True,True
332,TEJASNET,550.15,644.75,-14.67,509.21,-8.47,57.3,-0.1478,0.022836,0.020933,True,True,True,True
333,CASTROLIND,185.24,198.23,-6.55,180.61,-1.96,12.87,-0.1523,0.007689,0.007415,True,True,True,True
334,FIVESTAR,537.85,663.59,-18.95,510.02,-6.37,39.89,-0.1596,0.022326,0.020897,True,True,True,True
335,GODREJIND,1167.5,1443.0,-19.09,1125.27,-8.07,41.45,-0.1947,0.048462,0.0462,True,True,True,True
336,CYIENT,1107.45,1267.74,-12.64,952.55,-6.68,33.43,-0.1998,0.04597,0.038998,True,True,True,True
337,CRISIL,4732.7,5038.99,-6.08,4341.71,-5.68,27.02,-0.2103,0.196452,0.177997,True,True,True,True
338,RAINBOW,1442.8,1610.0,-10.39,1373.05,-5.19,22.05,-0.2353,0.05989,0.056383,True,True,True,True
339,SUMICHEM,517.85,615.97,-15.93,480.98,-8.93,35.82,-0.2493,0.021496,0.019744,True,True,True,True
340,HOMEFIRST,1198.3,1335.26,-10.26,1151.07,-9.51,36.55,-0.2601,0.049741,0.047214,True,True,True,True
341,BRIGADE,642.25,799.25,-19.64,583.22,-8.99,34.42,-0.2613,0.026659,0.023886,True,True,True,True
342,MANKIND,2382.9,2674.0,-10.89,2360.87,-6.81,25.01,-0.2724,0.098913,0.096966,True,True,True,True
343,JSWDULUX,3110.8,3687.56,-15.64,3057.35,-7.77,28.37,-0.2739,0.129128,0.125465,True,True,True,True
344,ULTRACEMCO,11589.0,12847.76,-9.8,11558.97,-6.22,22.62,-0.275,0.481054,0.474203,True,True,True,True
345,ZEEL,101.51,121.8,-16.66,98.67,-12.34,44.47,-0.2775,0.004214,0.004049,True,True,True,True
346,SBFC,98.75,123.0,-19.72,95.45,-8.66,31.12,-0.2782,0.004099,0.003913,True,True,True,True
347,PRAJIND,347.9,428.09,-18.73,346.49,-11.91,40.62,-0.2932,0.014441,0.014238,True,True,True,True
348,DLF,679.8,784.95,-13.4,639.77,-8.78,29.27,-0.3,0.028218,0.026216,True,True,True,True
349,CONCORDBIO,1481.1,1719.7,-13.87,1319.12,-12.11,40.0,-0.3028,0.06148,0.054082,True,True,True,True
350,INDHOTEL,706.4,789.04,-10.47,699.54,-7.74,24.12,-0.3208,0.029322,0.028699,True,True,True,True
351,JUSTDIAL,704.55,878.6,-19.81,645.13,-14.09,39.41,-0.3576,0.029246,0.026411,True,True,True,True
352,VGUARD,333.25,390.34,-14.63,322.57,-8.97,24.49,-0.3665,0.013833,0.013231,True,True,True,True
