rank,symbol,sector,close,high_252,distance_52wh_pct,ema_200,ema_200_ratio,ret_252,vol_252,volar_score,volume,is_delisted,filter1_pass,filter2_pass,filter3_pass,is_qualified,rrg_rs_ratio,rrg_rs_momentum,rrg_quadrant,passed_rrg
549,DCMSHRIRAM,INFRA_MEDIA,1022.3,1400.48,-27.0,1094.08,0.9344,-16.84,31.92,-0.5276,70239.0,False,False,False,False,False,99.77,97.96,LAGGING,True
550,KANSAINER,CONSDUR,195.77,260.89,-24.96,209.93,0.9326,-14.84,28.08,-0.5284,219737.0,False,False,False,False,False,96.24,98.23,LAGGING,True
551,TIMETECHNO,CAPGOODS,186.29,249.15,-25.23,189.9,0.981,-19.2,36.3,-0.5289,2984174.0,False,False,False,False,False,96.89,99.54,LAGGING,True
552,BHARTIHEXA,INFRA_MEDIA,1550.1,1934.32,-19.86,1578.84,0.9818,-14.81,27.93,-0.5303,104940.0,False,True,False,False,False,100.23,97.15,WEAKENING,True
553,HDBFS,FINSERV,679.35,796.67,-14.73,698.27,0.9729,-13.53,25.29,-0.5351,172622.0,False,True,False,False,False,96.13,99.28,LAGGING,True
554,SANOFICONR,PHARMA,4213.7,5275.81,-20.13,4528.4,0.9305,-16.54,30.59,-0.5408,3831.0,False,False,False,False,False,93.72,101.25,IMPROVING,True
555,IOB,FINSERV,32.81,41.8,-21.51,34.82,0.9422,-14.06,25.74,-0.5465,1294744.0,False,False,False,False,False,97.03,99.95,LAGGING,True
556,PFIZER,PHARMA,4703.8,5489.44,-14.31,4733.11,0.9938,-12.56,22.77,-0.5513,26865.0,False,True,False,True,False,101.01,97.18,WEAKENING,True
557,MAXHEALTH,PHARMA,1014.1,1219.73,-16.86,1057.96,0.9585,-14.15,25.64,-0.5521,1811091.0,False,True,False,False,False,94.68,101.81,IMPROVING,True
558,JSWCEMENT,REALTY,125.24,161.55,-22.48,127.95,0.9788,-16.47,29.78,-0.5531,476253.0,False,False,False,False,False,94.81,100.27,IMPROVING,True
559,WESTLIFE,CONSDUR,555.75,774.46,-28.24,524.17,1.0602,-21.52,38.83,-0.5542,47269.0,False,False,True,True,False,106.79,94.9,WEAKENING,True
560,SUZLON,CAPGOODS,46.79,61.5,-23.92,51.71,0.9048,-17.87,31.92,-0.5598,23944393.0,False,False,False,False,False,91.48,101.6,IMPROVING,True
561,JWL,CAPGOODS,245.1,358.25,-31.58,279.82,0.8759,-25.65,44.41,-0.5775,606055.0,False,False,False,False,False,96.04,100.38,IMPROVING,True
562,ABREL,REALTY,1387.0,1961.88,-29.3,1438.17,0.9644,-22.31,38.53,-0.5789,81323.0,False,False,False,False,False,99.85,98.38,LAGGING,True
563,RHIM,CAPGOODS,369.35,508.3,-27.34,408.05,0.9051,-23.38,40.29,-0.5804,127018.0,False,False,False,False,False,94.67,99.51,LAGGING,True
564,MEDPLUS,CONSDUR,676.35,1022.2,-33.83,802.68,0.8426,-17.64,30.09,-0.5864,85619.0,False,False,False,False,False,91.2,103.25,IMPROVING,True
565,RCF,CHEMICALS,119.81,161.77,-25.94,130.18,0.9203,-19.83,33.64,-0.5894,1211992.0,False,False,False,False,False,94.59,100.56,IMPROVING,True
566,HERITGFOOD,FMCG,370.55,535.95,-30.86,363.92,1.0182,-19.9,33.51,-0.5938,114313.0,False,False,True,True,False,108.35,97.84,WEAKENING,True
567,PURVA,REALTY,215.78,305.0,-29.25,223.54,0.9653,-25.27,42.3,-0.5974,85702.0,False,False,False,False,False,99.61,99.19,LAGGING,True
568,MASTEK,IT,1885.4,2587.07,-27.12,1801.94,1.0463,-24.61,40.59,-0.6064,5449060.0,False,False,True,True,False,110.08,110.09,LEADING,True
569,PARADEEP,CHEMICALS,165.88,231.0,-28.19,140.97,1.1767,-26.53,43.58,-0.6087,8464938.0,False,False,True,True,False,115.22,106.4,LEADING,True
570,RAMCOCEM,REALTY,895.65,1211.19,-26.05,959.74,0.9332,-15.56,25.56,-0.6088,243570.0,False,False,False,False,False,97.92,98.91,LAGGING,True
571,IREDA,FINSERV,117.02,162.49,-27.98,128.2,0.9128,-18.4,30.01,-0.6132,4510429.0,False,False,False,False,False,96.72,101.59,IMPROVING,True
572,VBL,FMCG,414.0,555.18,-25.43,471.09,0.8788,-18.32,29.77,-0.6154,7918746.0,False,False,False,False,False,90.15,99.01,LAGGING,True
573,JUBLPHARMA,PHARMA,882.65,1178.7,-25.12,962.51,0.917,-17.64,28.62,-0.6161,124044.0,False,False,False,False,False,93.87,101.66,IMPROVING,True
574,AAVAS,FINSERV,1275.5,1771.9,-28.02,1424.13,0.8956,-18.88,30.43,-0.6203,348832.0,False,False,False,False,False,89.8,96.76,LAGGING,True
575,SAPPHIRE,CONSDUR,231.5,347.9,-33.46,210.79,1.0982,-28.51,45.68,-0.624,862659.0,False,False,True,True,False,115.27,94.13,WEAKENING,True
576,SWSOLAR,REALTY,195.37,281.7,-30.65,213.51,0.915,-26.73,42.83,-0.6242,803620.0,False,False,False,False,False,89.98,100.5,IMPROVING,True
577,JAIBALAJI,METALS,69.23,108.0,-35.9,72.37,0.9566,-31.48,50.35,-0.6251,986503.0,False,False,False,False,False,105.62,103.4,LEADING,True
578,COROMANDEL,CHEMICALS,1913.7,2486.77,-23.04,2064.16,0.9271,-18.92,29.96,-0.6318,115794.0,False,False,False,False,False,94.82,97.25,LAGGING,True
579,UPL,CHEMICALS,571.0,804.41,-29.02,632.16,0.9033,-20.27,31.65,-0.6404,1181623.0,False,False,False,False,False,97.81,100.61,IMPROVING,True
580,WEBELSOLAR,CAPGOODS,77.84,141.5,-44.99,96.78,0.8043,-37.89,58.64,-0.646,1471654.0,False,False,False,False,False,82.21,98.7,LAGGING,True
581,EMBDL,REALTY,62.78,105.7,-40.61,65.71,0.9555,-34.72,52.55,-0.6607,2970745.0,False,False,False,False,False,100.47,100.15,LEADING,True
582,TARIL,CAPGOODS,303.45,552.0,-45.03,325.65,0.9318,-39.32,59.45,-0.6613,729621.0,False,False,False,False,False,96.53,102.76,IMPROVING,True
583,IRCON,REALTY,122.4,188.01,-34.9,141.86,0.8628,-25.04,37.74,-0.6634,834876.0,False,False,False,False,False,95.29,100.38,IMPROVING,True
584,BLUESTARCO,CONSDUR,1480.0,2030.04,-27.1,1691.19,0.8751,-20.25,30.49,-0.6642,292190.0,False,False,False,False,False,92.67,100.0,IMPROVING,True
585,ICICIGI,FINSERV,1562.0,2057.09,-24.07,1778.55,0.8782,-16.0,23.95,-0.6682,859511.0,False,False,False,False,False,92.81,98.61,LAGGING,True
586,NEWGEN,IT,567.1,1030.41,-44.96,580.59,0.9768,-35.97,52.93,-0.6796,10501206.0,False,False,False,False,False,109.56,106.42,LEADING,True
587,KAYNES,CAPGOODS,3943.1,7705.0,-48.82,3975.93,0.9917,-36.38,53.2,-0.6838,673805.0,False,False,False,True,False,112.69,100.81,LEADING,True
