date,portfolio_value,cash_balance,invested_capital,benchmark_value,drawdown,active_positions
2022-03-14,28490619.619617373,14300976.615299134,14189643.00431824,16871.30078125,-13.78334738515007,10
2022-03-15,28258540.998767763,14300976.615299134,13957564.38346863,16663.0,-14.485650181658816,10
2022-03-16,28482084.41728583,14300976.615299134,14181107.801986696,16975.349609375,-13.8091761170008,10
2022-03-17,29002001.89207831,14300976.615299134,14701025.276779177,17287.05078125,-12.23583215639039,10
2022-03-21,29038277.363376528,14300976.615299134,14737300.748077394,17117.599609375,-12.126057439339133,10
2022-03-22,29100411.33385077,14300976.615299134,14799434.718551638,17315.5,-11.938031239155322,10
2022-03-23,29294431.26657477,14300976.615299134,14993454.651275637,17245.650390625,-11.350899426532202,10
2022-03-24,29431767.697086245,14300976.615299134,15130791.081787111,17222.75,-10.935299924701148,10
2022-03-25,29737931.67334357,14300976.615299134,15436955.058044435,17153.0,-10.00880434346838,10
2022-03-28,29816509.15315619,14300976.615299134,15515532.537857058,17222.0,-9.7710177536783,10
2022-03-29,29673749.272800356,14300976.615299134,15372772.657501223,17325.30078125,-10.2030293833412,10
2022-03-30,29834021.904132754,14300976.615299134,15533045.28883362,17498.25,-9.718021687343647,10
2022-03-31,29750102.16827765,14300976.615299134,15449125.552978517,17464.75,-9.97197470101442,10
2022-04-01,29742739.570629448,-13633.623630194226,29756373.194259644,17670.44921875,-9.994254964913662,20
2022-04-04,30363948.615238518,-13633.623630194226,30377582.238868713,18053.400390625,-8.114388359155988,20
2022-04-05,30735494.52704653,-13633.623630194226,30749128.150676727,17957.400390625,-6.990037775121571,20
2022-04-06,31093907.28293261,-13633.623630194226,31107540.906562805,17807.650390625,-5.905429982117171,20
2022-04-07,30727203.517956108,-13633.623630194226,30740837.141586304,17639.55078125,-7.015127543617982,20
2022-04-08,31176585.312076896,-13633.623630194226,31190218.935707092,17784.349609375,-5.6552345489260585,20
2022-04-11,31276129.506988853,-13633.623630194226,31289763.13061905,17674.94921875,-5.353999707875445,20
2022-04-12,30627914.759636253,-13633.623630194226,30641548.38326645,17530.30078125,-7.315589397340839,20
2022-04-13,30860206.459358543,-13633.623630194226,30873840.08298874,17475.650390625,-6.612641793966157,20
2022-04-18,30440582.366852134,-13633.623630194226,30454215.99048233,17173.650390625,-7.882483766358206,20
2022-04-19,30162804.4449161,-13633.623630194226,30176438.068546295,16958.650390625,-8.72307912438769,20
2022-04-20,30262175.460026115,-13633.623630194226,30275809.08365631,17136.55078125,-8.422368349960507,20
2022-04-21,30574039.865356773,-13633.623630194226,30587673.48898697,17392.599609375,-7.478622462495988,20
2022-04-22,30921202.394478172,-13633.623630194226,30934836.018108368,17171.94921875,-6.4280594500459864,20
2022-04-25,30125774.94711718,-13633.623630194226,30139408.570747375,16953.94921875,-8.835135632489521,20
2022-04-26,30522458.13038668,-13633.623630194226,30536091.754016876,17200.80078125,-7.634716102597993,20
2022-04-27,30350408.079578727,-13633.623630194226,30364041.703208923,17038.400390625,-8.155363939005966,20
2022-04-28,30233768.86887774,-13633.623630194226,30247402.492507935,17245.05078125,-8.508330720513001,20
2022-04-29,30048594.743133873,-13633.623630194226,30062228.36676407,17102.55078125,-9.068693867600352,20
2022-05-02,29493691.248568423,7830995.834856877,21662695.413711548,17069.099609375,-10.747910482207567,14
2022-05-04,29018265.230685122,7830995.834856877,21187269.395828247,16677.599609375,-12.18661698895136,14
2022-05-05,28773433.845927127,7830995.834856877,20942438.01107025,16682.650390625,-12.927511456348562,14
2022-05-06,28229308.704150088,7830995.834856877,20398312.869293213,16411.25,-14.574111247926801,14
2022-05-09,27622755.981638797,7830995.834856877,19791760.14678192,16301.849609375,-16.409625745945643,14
2022-05-10,26883203.640398867,7830995.834856877,19052207.805541992,16240.0498046875,-18.647615938734507,14
2022-05-11,26433435.75974167,7830995.834856877,18602439.924884796,16167.099609375,-20.008677286001188,14
2022-05-12,26076995.54540909,7830995.834856877,18245999.710552216,15808.0,-21.087315888719203,14
2022-05-13,26584233.66870392,7830995.834856877,18753237.833847046,15782.150390625,-19.552341442638486,14
2022-05-16,27009546.650744326,7830995.834856877,19178550.81588745,15842.2998046875,-18.265284084296063,14
2022-05-17,27638990.070635684,7830995.834856877,19807994.23577881,16259.2998046875,-16.360499091971448,14
2022-05-18,28039520.92389954,7830995.834856877,20208525.089042664,16240.2998046875,-15.148435967391261,14
2022-05-19,27701958.225207217,7830995.834856877,19870962.39035034,15809.400390625,-16.169948532489975,14
2022-05-20,27968272.335616,7830995.834856877,20137276.500759125,16266.150390625,-15.364044292775326,14
2022-05-23,27894057.503054507,7830995.834856877,20063061.66819763,16214.7001953125,-15.588628893715972,14
2022-05-24,27644085.099993594,7830995.834856877,19813089.26513672,16125.150390625,-16.34508081107485,14
2022-05-25,26868254.6279744,7830995.834856877,19037258.793117523,16025.7998046875,-18.692853768881534,14
2022-05-26,27159816.006449588,7830995.834856877,19328820.171592712,16170.150390625,-17.81054771799474,14
2022-05-27,27371636.724409945,7830995.834856877,19540640.88955307,16352.4501953125,-17.16954820654707,14
2022-05-30,27609588.07577408,7830995.834856877,19778592.240917206,16661.400390625,-16.449473695227212,14
2022-05-31,27979894.09532059,7830995.834856877,20148898.260463715,16584.55078125,-15.328875200891702,14
2022-06-01,28165214.333053112,-10520.355892657302,28175734.68894577,16522.75,-14.768069898219915,20
2022-06-02,28253953.348273754,-10520.355892657302,28264473.704166412,16628.0,-14.499533062208315,20
2022-06-03,27862377.774234295,-10520.355892657302,27872898.130126953,16584.30078125,-15.684496242727375,20
