year,month,strategy_return,benchmark_return,excess_return
2022,3,7.990711348650725,3.994602765117583,3.9961085835331422
2022,4,1.0033329403974278,-2.0738872228345695,3.0772201632319973
2022,5,-6.884517114684652,-3.0287879663418282,-3.8557291483428235
2022,6,-5.130354521658587,-4.84969892678262,-0.2806555948759675
2022,7,6.976912472732688,8.732434530504896,-1.7555220577722084
2022,8,6.272369120942822,3.5029841694228736,2.7693849515199487
2022,9,-0.4646474206290052,-3.7442418486264173,3.279594427997412
2022,10,0.611824376894754,5.36931577011639,-4.757491393221636
2022,11,4.787518609959807,4.142472451938506,0.6450461580213007
2022,12,-3.023114047352493,-3.4813767827347686,0.45826273538227547
2023,1,-3.0724236898055923,-2.4476278852209377,-0.6247958045846547
2023,2,-6.066676862082798,-2.028072255941904,-4.038604606140894
2023,3,3.298608798508873,0.3224742545449466,2.9761345439639264
2023,4,9.102765937168233,4.062558504586766,5.040207432581466
2023,5,3.525366422948406,2.598396848187101,0.9269695747613049
2023,6,13.563949440841494,3.5320829205574666,10.031866520284026
2023,7,15.999009194564607,2.943084608186197,13.05592458637841
2023,8,16.173807322530067,-2.531158461791272,18.704965784321338
2023,9,1.6915723156881057,1.9970083017293971,-0.3054359860412914
2023,10,1.0114294540176427,-2.844956791824016,3.8563862458416587
2023,11,9.996409228382053,5.521870494244152,4.474538734137901
2023,12,2.916212010148489,7.938399947303942,-5.022187937155453
2024,1,14.848015575408313,-0.026234719219753178,14.874250294628066
2024,2,-3.6213229681225645,1.1833983335188147,-4.804721301641379
2024,3,-2.0918012419426923,1.565312867996771,-3.6571141099394633
2024,4,16.351703101596705,1.2449073265302424,15.106795775066463
2024,5,5.224592173696996,-0.32802868369559146,5.552620857392587
