symbol,buy_date,buy_price,sell_date,sell_price,shares,cost_basis,net_pnl,return_pct,holding_days,exit_reason,total_friction
IREDA,2024-08-02,252.91,2024-10-03,223.59,13938,3525101.35,-419620.64,-11.9,62,r2_exit,10909.52
OIL,2024-09-03,684.86,2024-10-03,545.27,5684,3892717.51,-804693.29,-20.67,30,r2_exit,11294.34
STAR,2024-09-03,1352.03,2024-10-03,1415.51,2879,3892499.76,169322.98,4.35,30,universe_exit,13442.15
SUZLON,2023-08-02,19.37,2024-11-04,68.12,95810,1855777.46,4654475.71,250.81,460,rank_exit,16497.68
RVNL,2024-08-02,571.74,2024-11-04,463.49,6165,3524771.41,-677704.73,-19.23,94,r2_exit,10339.12
NBCC,2024-08-02,115.07,2024-11-04,98.72,30635,3525167.85,-511601.69,-14.51,94,r2_exit,10706.85
PCBL,2024-10-03,533.62,2024-11-04,404.91,6725,3588616.5,-875742.71,-24.4,32,r2_exit,10116.63
KALYANKJIL,2024-10-03,723.61,2024-11-04,661.5,4959,3588369.83,-319333.81,-8.9,32,rank_exit,11343.16
BSE,2023-12-04,848.57,2024-12-03,1513.7,2674,2269068.26,1767053.44,77.88,365,rank_exit,11516.02
INOXWIND,2024-03-04,138.3,2024-12-03,202.25,28484,3939356.24,1804256.99,45.8,274,r2_exit,17205.89
TECHNOE,2024-06-04,1475.85,2024-12-03,1434.18,2007,2962024.31,-93356.54,-3.15,182,rank_exit,9738.74
MCX,2024-09-03,1027.02,2024-12-03,1255.25,3790,3892420.34,850049.49,21.84,91,rank_exit,14943.47
SIGNATURE,2024-10-03,1592.59,2024-12-03,1350.55,2253,3588107.52,-556142.51,-15.5,61,r3_exit,10819.91
POWERINDIA,2024-10-03,14245.66,2024-12-03,12207.57,251,3575659.52,-522412.37,-14.61,61,r2_exit,10852.52
GODFRYPHLP,2024-10-03,2179.53,2024-12-03,1853.47,1646,3587508.45,-547535.38,-15.26,61,r2_exit,10836.89
NATIONALUM,2024-12-03,228.5,2025-01-02,200.61,16374,3741427.05,-468227.64,-12.51,30,rank_exit,11528.59
TARIL,2024-02-02,172.54,2025-02-03,404.98,17164,2961490.65,3970823.36,134.08,367,r2_exit,18701.95
TRENT,2024-09-03,7171.44,2025-02-03,6191.06,542,3886917.84,-543214.07,-13.98,153,r2_exit,11851.65
NETWEB,2024-09-03,2797.66,2025-02-03,1754.97,1391,3891550.84,-1460234.37,-37.52,153,r2_exit,9844.39
PGEL,2024-10-03,617.34,2025-02-03,801.29,5813,3588625.69,1054922.89,29.4,123,r2_exit,14375.43
NEULANDLAB,2024-10-03,12329.34,2025-02-03,14084.1,291,3587836.58,497493.66,13.87,123,r2_exit,13143.17
DIXON,2024-12-03,17009.43,2025-02-03,14559.04,219,3725065.41,-547933.52,-14.71,62,r2_exit,11297.84
OFSS,2024-12-03,11463.44,2025-02-03,8189.77,326,3737081.46,-1077385.31,-28.83,62,r2_exit,10170.29
JYOTICNC,2024-12-03,1276.12,2025-02-03,998.9,2931,3740321.86,-823287.27,-22.01,62,r2_exit,10741.67
JUBLPHARMA,2024-12-03,1202.67,2025-02-03,945.09,3111,3741507.37,-812095.11,-21.71,62,r2_exit,10770.34
ANANTRAJ,2024-12-03,718.37,2025-02-03,632.56,5208,3741287.97,-458449.73,-12.25,62,r2_exit,11549.69
AEGISLOG,2024-12-03,822.72,2025-02-03,670.59,4547,3740915.68,-702758.33,-18.79,62,universe_exit,11009.54
KAYNES,2024-12-03,6356.0,2025-02-03,4745.3,588,3737327.74,-957526.99,-25.62,62,r2_exit,10435.51
TIMETECHNO,2024-12-03,223.95,2025-02-03,192.82,16707,3741455.29,-531477.37,-14.21,62,r2_exit,11389.17
ZENTEC,2024-12-03,1900.23,2025-02-03,1779.77,1969,3741547.94,-249186.57,-6.66,62,r2_exit,12012.17
ETERNAL,2024-12-03,279.98,2025-02-03,233.76,13363,3741368.89,-628861.32,-16.81,62,r2_exit,11174.06
GVT&D,2024-02-02,681.98,2025-03-04,1293.12,4342,2961148.63,2637836.03,89.08,396,r2_exit,15760.42
GALLANTT,2024-05-03,325.02,2025-03-04,299.27,12530,4072458.28,-335505.6,-8.24,305,r2_exit,12932.76
WOCKPHARMA,2024-09-03,1066.06,2025-03-04,1197.8,3651,3892203.31,466870.64,12.0,182,r2_exit,14097.5
BSE,2025-02-03,1768.53,2025-03-04,1417.72,1956,3459235.32,-696251.03,-20.13,29,r2_exit,10078.18
PTCIL,2025-02-03,14714.7,2025-03-04,10247.39,235,3457954.5,-1059090.71,-30.63,29,r2_exit,9273.51
LLOYDSME,2025-02-03,1201.59,2025-03-04,977.46,2879,3459364.46,-655439.59,-18.95,29,r2_exit,10168.64
MAZDOCK,2025-02-03,2311.12,2025-03-04,2104.11,1496,3457434.25,-320581.11,-9.27,29,r2_exit,10900.8
LTFOODS,2025-02-03,381.6,2025-03-04,324.54,9065,3459205.84,-527704.21,-15.26,29,r2_exit,10449.87
M&M,2025-02-03,3003.73,2025-03-04,2511.67,1151,3457290.3,-576691.49,-16.68,29,r3_exit,10335.38
AIIL,2025-02-03,340.3,2025-03-04,308.38,10165,3459142.2,-335350.89,-9.69,29,r3_exit,10873.96
VEDL,2025-02-03,407.57,2025-03-04,374.24,8487,3459062.14,-293811.09,-8.49,29,r2_exit,10965.32
