trade_id,ticker,signal_date,exec_date,side,shares,price,gross_value,net_costs,slippage,exit_reason
649,ANANTRAJ,2021-12-01,2021-12-02,SELL,21254,62.03567094611749,1319825.9762650463,2902.033356611666,1319.8259762651287,rank_exit
650,HFCL,2021-12-01,2021-12-02,SELL,22715,71.02397711655654,1614924.564767349,3550.896133010494,1614.924564767396,r2_exit
651,TTML,2022-01-03,2022-01-04,BUY,5095,227.6774469451904,1158857.734451294,1332.8602232793346,1158.8577344513033,
652,TRIDENT,2022-01-03,2022-01-04,BUY,22820,50.83920542952952,1158991.6762256382,1333.0142764106859,1158.991676225327,
653,KPITTECH,2022-01-03,2022-01-04,BUY,1958,592.4740628744737,1158905.3097984213,1332.9149420645554,1158.905309798196,
654,JBMA,2022-01-03,2022-01-04,BUY,4642,249.91365057299245,1158940.225734097,1332.9551006280817,1158.9402257339098,
655,RPOWER,2022-01-03,2022-01-04,BUY,78311,14.814800190925597,1159002.8149366379,1333.027087599272,1159.0028149364516,
656,KPRMILL,2022-01-03,2022-01-04,BUY,1672,693.6841508258667,1158681.2189618873,1332.6572039891034,1158.6812189619523,
657,MAXHEALTH,2022-02-01,2022-02-02,SELL,2563,365.7634908989666,938390.2173914429,2063.3324100002865,938.3902173914248,rank_exit
658,TTML,2022-02-01,2022-02-02,SELL,5095,148.65120304870607,758136.015548706,1666.9894709883924,758.1360155486036,r2_exit
659,ANGELONE,2022-02-01,2022-02-02,BUY,6574,128.10700201880806,841334.0971744697,967.660411865334,841.3340971744619,
660,DEEPAKFERT,2022-02-01,2022-02-02,BUY,1541,546.5006888330806,841316.2452465309,967.6398794703418,841.3162452464458,
661,ADANIENT,2022-03-02,2022-03-03,SELL,679,1664.6141092729029,1131404.3845808818,2487.731960816235,1131.4043845806736,rank_exit
662,POONAWALLA,2022-03-02,2022-03-03,SELL,6367,238.86925809018635,1522402.9692294458,3347.4596487415274,1522.402969229268,rank_exit
663,ELECON,2022-03-02,2022-03-03,SELL,18247,73.06048428142259,1334469.1258089268,2934.230713828424,1334.4691258086823,r2_exit
664,OLECTRA,2022-03-02,2022-03-03,SELL,2668,655.2856413303185,1750052.1432125024,3848.014652495788,1750.0521432126407,r2_exit
665,SAREGAMA,2022-03-02,2022-03-03,SELL,4706,396.638284364943,1868448.2144358575,4108.343933901423,1868.448214435717,r2_exit
666,PGEL,2022-03-02,2022-03-03,SELL,41273,60.8922921661904,2515723.2978730495,5531.572387363258,2515.7232978730462,r2_exit
667,TRIDENT,2022-03-02,2022-03-03,SELL,22820,47.885100358455475,1093831.822001956,2405.1174102180184,1093.8318220020737,r2_exit
668,KPITTECH,2022-03-02,2022-03-03,SELL,1958,557.1778419468138,1092046.2607926542,2401.1913182309954,1092.046260792762,r2_exit
669,JBMA,2022-03-02,2022-03-03,SELL,4642,212.34097961679907,986673.5008820634,2169.49769373953,986.6735008821124,r2_exit
670,RPOWER,2022-03-02,2022-03-03,SELL,78311,13.436549809455872,1053282.9350633621,2315.958517617313,1053.2829350633547,r2_exit
671,PRAJIND,2022-04-01,2022-04-04,SELL,2599,376.63015024315456,979841.6020840427,2154.475714662344,979.8416020839941,rank_exit
672,BSE,2022-04-01,2022-04-04,BUY,4648,298.7599811640894,1387249.1433073804,1595.5446021750104,1387.24914330733,
673,USHAMART,2022-04-01,2022-04-04,BUY,11098,125.1198302696178,1387192.68364857,1595.4796650982462,1387.192683648318,
674,KPITTECH,2022-04-01,2022-04-04,BUY,2310,601.0894059492845,1387129.3983445028,1595.4068775058258,1387.1293983443175,
675,GMDCLTD,2022-04-01,2022-04-04,BUY,8051,172.47465904798003,1387206.273721566,1595.4952957206406,1387.2062737212982,
676,SAREGAMA,2022-04-01,2022-04-04,BUY,3045,455.9471444761907,1386972.0828471538,1595.2259410866536,1386.9720828470308,
677,HFCL,2022-04-01,2022-04-04,BUY,17123,81.09864381385948,1387264.8132115046,1595.5626249150373,1387.2648132112809,
678,JSL,2022-04-01,2022-04-04,BUY,6936,200.20195157690756,1387213.5226148162,1595.5036330353469,1387.2135226146784,
679,JWL,2022-04-01,2022-04-04,BUY,29141,47.652274704845524,1387247.689484419,1595.542930060532,1387.2476894843858,
680,TEJASNET,2022-04-01,2022-04-04,BUY,2959,469.2337796630859,1387075.6783447266,1595.3450914481655,1387.0756783445831,
681,SARDAEN,2022-04-01,2022-04-04,BUY,12404,111.94907407590418,1387229.0857517638,1595.5215329772327,1387.2290857515763,
682,RHIM,2022-04-01,2022-04-04,BUY,2293,605.3710411761718,1386729.0683486136,1594.946437961189,1386.729068348417,
683,ATGL,2022-05-02,2022-05-04,SELL,654,2443.968702056456,1599955.4866315539,3517.9821240053934,1599.9554866314866,rank_exit
684,KPITTECH,2022-05-02,2022-05-04,SELL,2310,526.0670399445193,1216431.2935654048,2674.6891282915212,1216.4312935653143,r2_exit
685,GMDCLTD,2022-05-02,2022-05-04,SELL,8051,153.55870455874526,1237538.6690715295,2721.1000255543427,1237.538669071393,r2_exit
686,HFCL,2022-05-02,2022-05-04,SELL,17123,67.60412229934691,1158744.1302619793,2547.846593620234,1158.7441302621737,r2_exit
687,JSL,2022-05-02,2022-05-04,SELL,6936,183.31889357337405,1272772.618443366,2798.572433433379,1272.7726184434723,rank_exit
688,RHIM,2022-05-02,2022-05-04,SELL,2293,603.1298850394131,1384361.1875829573,3043.933379257517,1384.3611875830684,rank_exit
689,ADANIENSOL,2022-06-01,2022-06-02,SELL,587,1953.094998779297,1147614.3786621094,2523.374495802218,1147.6143786620814,r2_exit
690,GRAVITA,2022-06-01,2022-06-02,SELL,5012,267.8734827154473,1343925.8211910129,2955.024095634719,1343.9258211909328,r2_exit
691,KPRMILL,2022-06-01,2022-06-02,SELL,1672,578.9819941921082,969026.9212104154,2130.6963943575074,969.0269212104613,r2_exit
692,ANGELONE,2022-06-01,2022-06-02,SELL,6574,137.45066378924577,904505.1689194212,1988.8259654200535,904.5051689194515,r2_exit
693,BSE,2022-06-01,2022-06-02,SELL,4648,236.95707547580204,1102478.9657773052,2424.1307499510385,1102.4789657772053,r2_exit
694,USHAMART,2022-06-01,2022-06-02,SELL,11098,111.85859032709276,1242649.2847348102,2732.337247274947,1242.6492847348563,r2_exit
695,SAREGAMA,2022-06-01,2022-06-02,SELL,3045,390.65837736675024,1190745.5045863409,2618.2112154843644,1190.745504586259,r2_exit
696,SARDAEN,2022-06-01,2022-06-02,SELL,12404,90.25558126509395,1120650.8808931184,2464.0871569076644,1120.6508808929939,r2_exit
697,BLS,2022-06-01,2022-06-02,BUY,13448,89.34091017515516,1200256.303731755,1380.47478773701,1200.256303731585,
698,ADANIPOWER,2022-06-01,2022-06-02,BUY,20570,58.40834847259521,1200259.468612671,1380.478427824797,1200.259468612494,
699,RENUKA,2022-06-01,2022-06-02,BUY,22950,52.352299236297604,1200284.9824905396,1380.5077726114541,1200.2849824903533,
700,SCHAEFFLER,2022-06-01,2022-06-02,BUY,516,2325.7861775750366,1198906.760867851,1378.9226110123564,1198.906760867918,
701,BDL,2022-06-01,2022-06-02,BUY,3023,397.376622835793,1200069.4613712311,1380.2598909961525,1200.0694613710511,
702,TATAPOWER,2022-06-01,2022-06-02,BUY,5352,224.4894913901532,1200267.4904296703,1380.4876541176345,1200.267490429571,
703,CHENNPETRO,2022-06-01,2022-06-02,BUY,4819,249.3142500315512,1200245.1257762692,1380.4619314116426,1200.2451257761568,
704,NAVA,2022-06-01,2022-06-02,BUY,14164,84.82343584909361,1200238.906460102,1380.4547782649752,1200.2389064598829,
705,HBLENGINE,2022-06-01,2022-06-02,BUY,12861,93.42163884335511,1200295.4017626275,1380.519756337162,1200.2954017624725,
706,PGEL,2022-06-01,2022-06-02,BUY,13498,89.0107154179654,1200266.3703413557,1380.486365847988,1200.2663703411818,
707,KEI,2022-06-01,2022-06-02,BUY,922,1301.751452159458,1199015.8230679526,1379.0480489013717,1199.0158230676316,
708,SWANCORP,2022-06-01,2022-06-02,BUY,4323,277.8743077243563,1200050.5817106818,1380.2381765544415,1200.050581710413,
709,TIMKEN,2022-06-01,2022-06-02,BUY,471,2550.085781735929,1199890.5126849378,1380.0540731642395,1199.890512684593,
710,SOLARINDS,2022-06-01,2022-06-02,BUY,459,2612.826186257616,1198089.1303618841,1377.9822132855188,1198.0891303615645,
711,DEEPAKFERT,2022-07-01,2022-07-04,SELL,1541,585.834038716648,903673.9275899444,1986.9982319846108,903.6739275897853,rank_exit
712,TEJASNET,2022-07-01,2022-07-04,SELL,2959,447.9398733901908,1326780.8662278026,2917.3257686619336,1326.780866228044,r2_exit
713,ADANIPOWER,2022-07-01,2022-07-04,SELL,20570,52.727218780517575,1085684.5748901367,2387.203243268479,1085.6845748901833,r2_exit
714,RENUKA,2022-07-01,2022-07-04,SELL,22950,45.85410152435303,1053405.035018921,2316.226990999603,1053.405035018921,r2_exit
715,BDL,2022-07-01,2022-07-04,SELL,3023,322.0803048789333,974623.3850340495,2143.0018990129706,974.6233850341523,r2_exit
716,TATAPOWER,2022-07-01,2022-07-04,SELL,5352,202.1799285699918,1083150.1278344304,2381.6305010823226,1083.1501278344076,r2_exit
717,CHENNPETRO,2022-07-01,2022-07-04,SELL,4819,249.6513910322677,1204274.3277122101,2647.958391773531,1204.2743277121335,r2_exit
718,NAVA,2022-07-01,2022-07-04,SELL,14164,80.7652530359475,1145104.1481493097,2517.85500095065,1145.1041481492575,rank_exit
719,SWANCORP,2022-07-01,2022-07-04,SELL,4323,185.46120173935083,802551.3264456593,1764.6498565887093,802.5513264456531,r2_exit
720,JWL,2022-08-01,2022-08-02,SELL,29141,59.11159458147584,1724295.2729717593,3791.380446210281,1724.2952729717363,rank_exit
721,HBLENGINE,2022-08-01,2022-08-02,SELL,12861,86.41289967048434,1112468.7714335325,2446.0963346279764,1112.4687714334577,rank_exit
722,SOLARINDS,2022-08-01,2022-08-02,SELL,459,2689.545799837396,1235737.2593847495,2717.1390859351477,1235.7372593847103,rank_exit
723,ADANIENSOL,2022-08-01,2022-08-02,BUY,345,3278.6753022460935,1130012.9663085938,1299.6844131997786,1130.01296630851,
