symbol,has_ca_event,ca_event_count
UFLEX,False,0
UFO,False,0
UJJIVANSFB,False,0
ULTRACEMCO,False,0
UNIONBANK,False,0
UNITDSPR,True,1
UPL,True,1
VAIBHAVGBL,False,0
VAKRANGEE,True,1
VARROC,False,0
VBL,True,1
VEDL,False,0
VGUARD,True,2
VINATIORGA,True,1
VIVIDHA,True,1
VMART,False,0
VOLTAS,False,0
VRLLOG,False,0
WABAG,False,0
WHEELS,True,1
WIPRO,True,2
WONDERLA,False,0
YESBANK,True,1
ZEELEARN,False,0
ZEEMEDIA,False,0
ZYDUSWELL,False,0
