scrip_name,snapshot_frequency,pct_snapshots,mapping_status,symbol,isin,confidence,flags,source_tier
Punj Lloyd Ltd.,21,36.84,unresolved,,,low,no_candidate,unresolved
Orissa Min Dev Co Ltd.,21,36.84,unresolved,,,low,no_candidate,unresolved
Rolta India Ltd.,21,36.84,unresolved,,,low,no_candidate,unresolved
Maharashtra Seamless Ltd.,21,36.84,proposed,MAHSEAMLES,INE271B01025,high,listing_after_first_seen,review_high
Nitin Fire Protection Industries Ltd.,21,36.84,unresolved,,,low,no_candidate,unresolved
Amtek Auto Ltd.,21,36.84,unresolved,,,low,no_candidate,unresolved
Ruchi Soya Industries Ltd.,21,36.84,unresolved,,,low,no_candidate,unresolved
Kirloskar Oil Eng Ltd.,21,36.84,proposed,KIRLOSENG,INE146L01010,medium,,review_medium
Hindustan Media Vent Ltd.,18,31.58,proposed,HMVL,INE871K01015,medium,,review_medium
JMT Auto Ltd.,18,31.58,unresolved,,,low,no_candidate,unresolved
State Trading Corporation of India Ltd.,18,31.58,proposed,STCINDIA,INE655A01013,high,,review_high
Tide Water Oil (India) Ltd.,18,31.58,unresolved,,,low,no_candidate,unresolved
Sintex Plastics Technology Ltd.,18,31.58,unresolved,,,low,no_candidate,unresolved
TCNS Clothing Co. Ltd.,18,31.58,unresolved,,,low,no_candidate,unresolved
Lanco Infratech Ltd.,15,26.32,unresolved,,,low,no_candidate,unresolved
Jaypee Infratech Ltd.,15,26.32,unresolved,,,low,no_candidate,unresolved
State Bank of Bikaner & Jaipur Ltd.,15,26.32,proposed,SBIN,INE062A01020,medium,name_variant;concurrent_alias_collision,review_medium
Sintex Industries Ltd.,15,26.32,unresolved,,,low,no_candidate,unresolved
Indiabulls Integrated Services Ltd.,15,26.32,proposed,KRYSTAL,INE0QN801017,medium,first_token_mismatch;listing_after_first_seen,review_medium
Sundaram Clayton Ltd.,14,24.56,proposed,SUNCLAY,INE0Q3R01026,high,listing_after_first_seen,review_high
Dishman Pharmaceuticals & Chemicals Ltd.,13,22.81,proposed,BIOFILCHEM,INE829A01014,medium,first_token_mismatch;concurrent_alias_collision,review_medium
Vesuvius India Ltd.,12,21.05,proposed,VESUVIUS,INE386A01023,high,listing_after_first_seen,review_high
International Paper APPM Ltd.,12,21.05,unresolved,,,low,no_candidate,unresolved
Johnson Controls - Hitachi Air Conditioning India Ltd.,12,21.05,unresolved,,,low,no_candidate,unresolved
Orient Refractories Ltd.,12,21.05,unresolved,,,low,no_candidate,unresolved
Adani Gas Ltd.,12,21.05,proposed,ATGL,INE399L01023,medium,name_variant,review_medium
Cairn India Ltd.,11,19.3,unresolved,,,low,no_candidate,unresolved
Supreme Petrochem Ltd.,9,15.79,proposed,SPLPETRO,INE663A01033,high,listing_after_first_seen,review_high
Clariant Chemicals (India) Ltd.,9,15.79,unresolved,,,low,no_candidate,unresolved
