symbol,scrip_name,mapping_status,isin,first_seen,last_seen,flags
NCC,NCC Ltd.,auto,INE868B01028,2004-12-10,2020-06-26,
NESCO,NESCO Ltd.,auto,INE317F01035,2018-04-02,2018-04-02,
NESTLEIND,Nestle India Limited,proposed,INE239A01024,1996-09-18,2003-08-04,listing_after_first_seen
NETWORK18,Network18 Media & Investments Ltd.,auto,INE870H01013,2011-10-10,2020-06-26,
NFL,National Fertilizers Ltd.,auto,INE870D01012,2009-03-27,2018-09-28,
NH,Narayana Hrudayalaya Ltd.,auto,INE410P01011,2016-09-30,2018-04-02,
NHPC,NHPC Ltd.,auto,INE848E01016,2010-04-06,2020-01-24,
NIACL,The New India Assurance Company Ltd.,auto,INE470Y01017,2018-09-28,2020-06-26,
NILKAMAL,Nilkamal Ltd.,auto,INE310A01015,1999-09-08,2016-09-30,
NMDC,NMDC Ltd.,auto,INE584A01023,2008-09-10,2020-03-19,
NOCIL,NOCIL Ltd.,auto,INE163A01018,1998-08-01,2016-04-01,
NOIDATOLL,Noida-Toll Bridge Co. Ltd.,auto,INE781B01015,2007-04-04,2016-04-01,name_variant
NTPC,NTPC Ltd.,auto,INE733E01010,2005-02-07,2018-10-26,
OBEROIRLTY,Oberoi Realty Ltd.,auto,INE093I01010,2011-03-25,2020-06-26,
OFSS,Oracle Financial Services Software Ltd.,auto,INE881D01027,2003-03-17,2020-06-26,
OIL,Essar Oil Ltd.,proposed,INE274J01014,1998-08-01,2015-09-28,first_token_mismatch;name_variant;listing_after_first_seen;concurrent_alias_collision
OMAXE,Omaxe Ltd.,auto,INE800H01010,2008-03-14,2020-06-26,
ONGC,Oil & Natural Gas Corporation Ltd.,auto,INE213A01029,1998-08-01,2019-09-27,
ORIENTCEM,Orient Cement Ltd.,auto,INE876N01018,2015-09-28,2015-09-28,
ORIENTELEC,Orient Electric Ltd.,auto,INE142Z01019,2019-03-29,2019-03-29,
PAGEIND,Page Industries Ltd.,auto,INE761H01022,2011-10-10,2019-03-29,
PARAGMILK,Parag Milk Foods Ltd.,auto,INE883N01014,2017-03-31,2020-06-26,
PATELENG,Patel Engineering Ltd.,auto,INE244B01030,2005-06-01,2016-04-01,
PCJEWELLER,PC Jeweller Ltd.,auto,INE785M01021,2015-04-20,2020-06-26,
PENIND,Pennar Industries Ltd.,auto,INE932A01024,2015-03-27,2016-04-01,
PENINLAND,Peninsula Land Ltd.,auto,INE138A01028,1998-08-01,2016-04-01,
PERSISTENT,Persistent Systems Ltd.,auto,INE262H01021,2011-10-10,2019-03-29,
PETRONET,Petronet LNG Ltd.,auto,INE347G01014,2004-07-01,2019-09-27,
PFC,Power Finance Corporation Ltd.,auto,INE134E01011,2007-09-24,2020-06-26,
PIDILITIND,Pidilite Industries Ltd.,auto,INE318A01026,1998-08-01,2018-12-28,
PIIND,PI Industries Ltd.,auto,INE603J01030,2014-03-28,2019-06-28,
PNB,Punjab & National Bank,proposed,INE160A01022,2004-05-28,2004-05-28,concurrent_alias_collision
PNBHOUSING,PNB Housing Finance Ltd.,auto,INE572E01012,2017-05-26,2017-05-26,
PNCINFRA,PNC Infratech Ltd.,auto,INE195J01029,2015-10-19,2017-09-29,
POLYCAB,Polycab India Ltd.,auto,INE455K01017,2019-09-27,2020-06-26,
POLYMED,Poly Medicure Ltd.,auto,INE205C01021,2020-06-26,2020-06-26,
POWERGRID,Power Grid Corporation of India Ltd.,auto,INE752E01010,2008-03-14,2020-06-26,
PRAJIND,Praj Industries Ltd.,auto,INE074A01025,2003-05-02,2018-04-02,
PRAKASH,Prakash Industries Ltd.,auto,INE603A01013,1998-08-01,2016-04-01,
PRESTIGE,Prestige Estates Projects Ltd.,auto,INE811K01011,2011-03-25,2020-06-26,
PTC,PTC India Ltd.,auto,INE877F01012,2006-03-02,2019-03-29,
QUESS,Quess Corp Ltd.,auto,INE615P01015,2017-03-31,2018-09-28,
RADICO,Radico Khaitan Ltd,auto,INE944F01028,2004-12-10,2019-06-28,
RAIN,Rain Industries Ltd,auto,INE855B01025,2002-07-09,2019-09-27,listing_after_first_seen
RAJESHEXPO,Rajesh Exports Ltd.,auto,INE343B01030,2005-09-26,2018-06-29,
RALLIS,Rallis India Ltd.,auto,INE613A01020,1999-09-08,2020-06-26,
RAMCOCEM,The Ramco Cements Ltd.,auto,INE331A01037,1998-08-01,2019-09-27,
RAMCOSYS,Ramco Systems Ltd.,auto,INE246B01019,2001-04-25,2018-09-28,
RATNAMANI,Ratnamani Metals & Tubes Ltd.,auto,INE703B01027,2014-09-19,2019-09-27,
RAYMOND,Raymond Ltd.,auto,INE301A01014,1998-08-01,2019-12-27,
RBLBANK,RBL Bank Ltd.,auto,INE976G01028,2017-01-23,2020-06-26,
RCF,Rashtriya Chemicals & Fertilizers Ltd.,auto,INE027A01015,1998-08-01,2019-09-27,name_variant
RCOM,Reliance Communications Ltd.,auto,INE330H01018,2006-06-06,2019-09-27,
RELAXO,Relaxo Footwears Ltd.,auto,INE131B01039,2016-04-01,2020-06-26,
RELIANCE,Reliance Industries Ltd.,auto,INE002A01018,1998-08-01,2020-06-26,
RELIGARE,Religare Enterprises Ltd.,auto,INE621H01010,2008-12-03,2018-09-28,
RELINFRA,Reliance Infrastructure Ltd.,auto,INE036A01016,1998-08-01,2020-06-26,
RENUKA,Shree Renuka Sugars Ltd.,auto,INE087H01022,2006-03-02,2017-03-31,
REPCOHOME,Repco Home Finance Ltd.,auto,INE612J01015,2014-09-19,2019-03-29,
RESPONIND,Responsive Industries Ltd.,auto,INE688D01026,2019-12-26,2020-06-26,
RHFL,Reliance Home Finance Ltd.,auto,INE217K01011,2018-04-02,2019-09-27,
RIIL,Reliance Industrial Infrastructure Ltd.,auto,INE046A01015,1998-08-01,2017-09-29,
RITES,RITES Ltd.,auto,INE320J01015,2018-12-28,2020-06-26,
RKFORGE,Ramkrishna Forgings Ltd.,auto,INE399G01023,2016-04-01,2019-09-27,
RPOWER,Reliance Power Ltd.,auto,INE614G01033,2008-09-10,2020-06-26,
RTNPOWER,RattanIndia Power Ltd.,auto,INE399K01017,2010-04-08,2018-09-28,
