trading_date,status,records_extracted,size_bytes,source
2017-05-09,SUCCESS,378,64925,download
2017-05-10,SUCCESS,377,64796,download
2017-05-11,SUCCESS,377,64709,download
2017-05-12,SUCCESS,378,65113,download
2017-05-15,SUCCESS,377,65220,download
2017-05-16,SUCCESS,377,64829,download
2017-05-17,SUCCESS,377,64672,download
2017-05-18,SUCCESS,378,64918,download
2017-05-19,SUCCESS,379,65320,download
2017-05-22,SUCCESS,379,64985,download
2017-05-23,SUCCESS,379,64453,download
2017-05-24,SUCCESS,379,64130,download
2017-05-25,SUCCESS,379,64262,download
2017-05-26,SUCCESS,379,64476,download
2017-05-29,SUCCESS,379,64579,download
2017-05-30,SUCCESS,379,64143,download
2017-05-31,SUCCESS,379,64169,download
2017-06-01,SUCCESS,379,64081,download
2017-06-02,SUCCESS,379,64773,download
2017-06-05,SUCCESS,379,65018,download
2017-06-06,SUCCESS,379,63830,download
2017-06-07,SUCCESS,379,64398,download
2017-06-08,SUCCESS,379,64192,download
2017-06-09,SUCCESS,379,64239,download
2017-06-12,SUCCESS,379,64286,download
2017-06-13,SUCCESS,379,64558,download
2017-06-14,SUCCESS,379,64212,download
2017-06-15,SUCCESS,379,64525,download
2017-06-16,SUCCESS,380,64936,download
2017-06-19,SUCCESS,380,64958,download
2017-06-20,SUCCESS,380,64703,download
2017-06-21,SUCCESS,380,64673,download
2017-06-22,SUCCESS,380,64740,download
2017-06-23,SUCCESS,380,64979,download
2017-06-27,SUCCESS,380,64589,download
2017-06-28,SUCCESS,380,63865,download
2017-06-29,SUCCESS,381,63825,download
2017-06-30,SUCCESS,382,63817,download
2017-07-03,SUCCESS,382,64758,download
2017-07-04,SUCCESS,382,64267,download
2017-07-05,SUCCESS,382,65294,download
2017-07-06,SUCCESS,382,65553,download
2017-07-07,SUCCESS,382,65213,download
2017-07-10,SUCCESS,383,60494,download
2017-07-11,SUCCESS,383,65307,download
2017-07-12,SUCCESS,383,65439,download
2017-07-13,SUCCESS,383,65304,download
2017-07-14,SUCCESS,383,65593,download
2017-07-17,SUCCESS,383,65700,download
2017-07-18,SUCCESS,383,65336,download
2017-07-19,SUCCESS,383,64911,download
2017-07-20,SUCCESS,383,64951,download
2017-07-21,SUCCESS,383,64894,download
2017-07-24,SUCCESS,383,65345,download
2017-07-25,SUCCESS,383,65599,download
2017-07-26,SUCCESS,383,65048,download
2017-07-27,SUCCESS,383,65213,download
2017-07-28,SUCCESS,383,64537,download
2017-07-31,SUCCESS,383,65598,download
2017-08-01,SUCCESS,383,65193,download
2017-08-02,SUCCESS,383,65225,download
2017-08-03,SUCCESS,383,64676,download
2017-08-04,SUCCESS,383,64669,download
2017-08-07,SUCCESS,383,65111,download
2017-08-08,SUCCESS,381,64588,download
2017-08-09,SUCCESS,381,64437,download
2017-08-10,SUCCESS,381,65073,download
2017-08-11,SUCCESS,384,65230,download
2017-08-14,SUCCESS,384,64595,download
2017-08-16,SUCCESS,384,64636,download
2017-08-17,SUCCESS,384,63932,download
2017-08-18,SUCCESS,384,64172,download
2017-08-21,SUCCESS,384,64992,download
2017-08-22,SUCCESS,384,64050,download
2017-08-23,SUCCESS,384,64065,download
2017-08-24,SUCCESS,384,64274,download
2017-08-28,SUCCESS,384,64257,download
2017-08-29,SUCCESS,384,63936,download
2017-08-30,SUCCESS,384,63838,download
2017-08-31,SUCCESS,384,64721,cache_a2
2017-09-01,SUCCESS,385,64647,cache_a2
2017-09-04,SUCCESS,385,65481,cache_a2
2017-09-05,SUCCESS,385,64931,cache_a2
2017-09-06,SUCCESS,385,65090,cache_a2
2017-09-07,SUCCESS,385,65538,cache_a2
2017-09-08,SUCCESS,385,65161,cache_a2
2017-09-11,SUCCESS,385,65604,cache_a2
2017-09-12,SUCCESS,385,65646,cache_a2
2017-09-13,SUCCESS,385,65205,cache_a2
2017-09-14,SUCCESS,385,64752,cache_a2
2017-09-15,SUCCESS,385,65125,download
2017-09-18,SUCCESS,386,66079,download
2017-09-19,SUCCESS,386,65589,download
2017-09-20,SUCCESS,386,65426,download
2017-09-21,SUCCESS,387,65552,download
2017-09-22,SUCCESS,388,65203,download
2017-09-25,SUCCESS,388,65486,download
2017-09-26,SUCCESS,388,64672,download
2017-09-27,SUCCESS,389,65003,download
2017-09-28,SUCCESS,389,64675,download
2017-09-29,SUCCESS,389,64841,download
2017-10-03,SUCCESS,390,65516,download
2017-10-04,SUCCESS,390,65227,download
2017-10-05,SUCCESS,390,65225,download
2017-10-06,SUCCESS,390,65973,download
2017-10-09,SUCCESS,390,66831,download
2017-10-10,SUCCESS,390,66663,download
2017-10-11,SUCCESS,390,66659,download
2017-10-12,SUCCESS,390,65816,download
2017-10-13,SUCCESS,390,66684,download
2017-10-16,SUCCESS,391,66778,download
2017-10-17,SUCCESS,391,66499,download
2017-10-18,SUCCESS,392,65772,download
2017-10-19,SUCCESS,392,61712,download
2017-10-23,SUCCESS,393,67172,download
2017-10-24,SUCCESS,393,66720,download
2017-10-25,SUCCESS,394,66556,download
2017-10-26,SUCCESS,394,66356,download
2017-10-27,SUCCESS,394,67093,download
2017-10-30,SUCCESS,394,67340,download
2017-10-31,SUCCESS,394,67338,download
2017-11-01,SUCCESS,394,67881,download
2017-11-02,SUCCESS,394,67215,download
2017-11-03,SUCCESS,394,67261,download
2017-11-06,SUCCESS,394,67634,download
2017-11-07,SUCCESS,394,67510,download
2017-11-08,SUCCESS,394,66927,download
2017-11-09,SUCCESS,394,66830,download
2017-11-10,SUCCESS,395,66261,download
2017-11-13,SUCCESS,396,66497,download
2017-11-14,SUCCESS,396,66854,download
2017-11-15,SUCCESS,396,67228,download
2017-11-16,SUCCESS,396,66586,download
2017-11-17,SUCCESS,396,67341,download
2017-11-20,SUCCESS,396,67464,download
2017-11-21,SUCCESS,396,67378,download
2017-11-22,SUCCESS,396,67534,download
2017-11-23,SUCCESS,396,66892,download
2017-11-24,SUCCESS,396,67939,download
2017-11-27,SUCCESS,396,67938,download
2017-11-28,SUCCESS,396,68094,download
2017-11-29,SUCCESS,396,67625,download
2017-11-30,SUCCESS,396,67404,download
2017-12-01,SUCCESS,396,67920,download
2017-12-04,SUCCESS,396,67774,download
2017-12-05,SUCCESS,396,67386,download
2017-12-06,SUCCESS,396,67722,download
2017-12-07,SUCCESS,396,67333,download
2017-12-08,SUCCESS,396,67968,download
2017-12-11,SUCCESS,396,67968,download
2017-12-12,SUCCESS,396,67827,download
2017-12-13,SUCCESS,396,67475,download
2017-12-14,SUCCESS,396,67412,download
2017-12-15,SUCCESS,396,67399,download
2017-12-18,SUCCESS,395,67834,download
2017-12-19,SUCCESS,396,67872,download
2017-12-20,SUCCESS,396,68103,download
2017-12-21,SUCCESS,396,68000,download
2017-12-22,SUCCESS,396,68722,download
2017-12-26,SUCCESS,396,69304,download
2017-12-27,SUCCESS,396,69121,download
2017-12-28,SUCCESS,396,68606,download
2017-12-29,SUCCESS,396,69258,download
2018-01-02,SUCCESS,396,69476,download
